seat,wins,self_draw_wins,discard_wins,qiang_gang_hu_wins,gang_count,an_gang_count,add_gang_count,melded_gang_count,total_delta,avg_delta_per_round,win_rate,deal_in_count,deal_in_rate,deal_in_loss_total,positive_rounds,negative_rounds,zero_rounds,max_single_round_gain,max_single_round_loss,final_score
0,1,0,1,0,0,0,0,0,-7,-3.5,0.5,1,0.5,-3,0,2,0,0,-4,-7
1,1,0,1,0,0,0,0,0,-5,-2.5,0.5,1,0.5,-3,0,2,0,0,-3,-5
2,2,1,1,0,1,0,0,1,12,6.0,1.0,0,0.0,0,2,0,0,11,0,12
3,1,1,0,0,1,0,0,1,0,0.0,0.5,1,0.5,-4,1,1,0,4,-4,0
